Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Type of Reward,nAVAX,Node,Time
jWgE5KiiCejNYbYGDzhu9WAXrAdgwav9EXuycNVdB62rSU4tH,P-avax1a45dgarmwutzng4r25l25lnfltzetsrcjyp0m2,staking,21173514157,NodeID-2JdttE7aUb19pgp9rJifgrkbHpv79cCGx,2020-10-05T23:34:14-04:00
nHKNSEj6oXf9vHcp6eaziZdafw6HrjySGQv1qUPRcME1PTZmj,P-avax1efz8chevs4pcr3qd29dzgyuwajkva78f892066,staking,68774794738,NodeID-Eef8RycdBGmSe9tCZ1biGTLLYrkCHZPUS,2020-10-06T00:16:45-04:00
kKF8bf93tMDtRb7Tu28nm8gpkCxGmq3S1YwYacaK6Q9s1PHJJ,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474935398011,NodeID-4gTwepTF5fcacXB7gdYZLTtfSFsYh4faj,2020-10-06T00:49:07-04:00
FLaYh2XFJ3a7h947A4nCTySFja74iUjiVi5CWCry9axz7xe32,P-avax128k36vkkjygnhhr8p2u9p9nqp75de5yhm5a5ut,delegator,6796263783,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T00:50:53-04:00
FLaYh2XFJ3a7h947A4nCTySFja74iUjiVi5CWCry9axz7xe32,P-avax128k36vkkjygnhhr8p2u9p9nqp75de5yhm5a5ut,delegatee,755140421,NodeID-V5R4XjWDtjs8Zi2g3TRNzngnGJiXm2ic,2020-10-06T00:50:53-04:00
2NGsDbAdnLTZpmGsCNRXzMkrdkxaH9WTWXcnpe8KakEGL33Coy,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474767818523,NodeID-MXNBsr8xSHE9CKfmyzvBYyEzxAbLuHTAn,2020-10-06T00:50:59-04:00
qBcryeDFBvzP6aXTq9NkFKY54iMqGG4mjybYrW7JPoX7PNx9H,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474601281132,NodeID-PBirKHpUvffdD4NtD7ZgKRTUN7MMPuV7N,2020-10-06T00:52:09-04:00
d2CAbFDPAwFhaxq83Xpdyuraj96FqtyEJvmPRqR5pvkpdhKBY,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474349080325,NodeID-Czad1HpuKiJPZX9CZLts9RKqL2cUxzAWb,2020-10-06T00:56:31-04:00
P5mafPpgGGcEBoL2sq8KDqsuaGGx3WN2t2wC19Y8AnPyR93Lj,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474182568259,NodeID-7hYstd23YKDPGgutnHwnLCqxvynFxNzzw,2020-10-06T00:57:39-04:00
2nT9beMwUpigyYTp3hYvvh8NBeByPCnzXp7sQKXQnj6EwYjwyS,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5474009416393,NodeID-ETB4oa1tpAsWfuNK7WZkRGKGnL1eEDpdf,2020-10-06T00:58:25-04:00
2vGQa8cp7JGtTapxuhK1Q2Mrrx3vffhpwBFEtDXnn7qJ5hvzML,P-avax1tw4qyf9lqgcg8wcg9uq0wqkqw4n48zw4lsemp5,staking,13963491818,NodeID-GN3mbDwmhdWKzRDMTYpJCKWUdnJ33F5J2,2020-10-06T00:59:12-04:00
43SuqJCLoA2GSURWQubBgFnvH6kgD24TzpS7L4Wu5QLdWvs78,P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,staking,5662424937090,NodeID-2gwZ5HWZ2ZspALAbqtuNfddD7oSmQkDxd,2020-10-06T01:00:44-04:00
v8rkVhSfnR7L56QqyeQDSR1KL8TT5SnQ6VSYGdConXAFWCRdM,P-avax1zecdkd6nvm3qn2al8gwjgw4he3sshhl3djw78u,staking,7550949635,NodeID-6XJDfJxuDfmmLcspeeDVAoPSoi4e16LMo,2020-10-06T01:41:18-04:00
pFZaUzUf4dr9H7oxUUoMV1qaekbESC3wocjKkUxhdeN5uRmuK,P-avax12xmwf68n88xr2h7padcj2gy5f5djzj9u5pj5zl,staking,340367259836,NodeID-7Aqa2Z7YsVyRExkxLPzXeWzG6r2C45ebJ,2020-10-06T02:00:58-04:00
21y551ukYPzciiCtRwiPvVgqZXZrEoijawjZhpbroovZUgrjcE,P-avax1jkr4ucmeaj403607smap5pzcukj5me8hvuj0g5,staking,11401614697,NodeID-KuUCsXW5gCaVthX5fnT4XgpyJh33YLAvS,2020-10-06T02:11:24-04:00
2WorUU7VR6fCUbUpGmPmCQQvth7E9MbZH44tmK9JztZJg1tRuE,P-avax1ewadavct67nmgc5kcytju5ngfm40cj3fl9nrm8,staking,169846126430,NodeID-JetqWrStX9pDGTm7XA6RCzCu8Hd8Ld7eQ,2020-10-06T02:24:58-04:00
2nxTXXLj1PGnbSsNCXP9onCdbXnk1Xh7dpq7gRCb4f2uQVNTB8,P-avax1h5857s0skczpvuanj64m20mgh3n8sqzsk4hh4j,delegator,5367253005,NodeID-D87m2bQzEg9rquqT72zHp9BffaismCzKJ,2020-10-06T02:30:02-04:00
