Disclaimer: I extracted this by injecting printing statements in the P-Chain code. There is no warranty for accuracy and it is all your responsibility to use this data.,,,,,
Tx ID,Address,Reward Type,nAVAX,Node,Time
# block,279208,,,,
22EQ8K9D11JFB64SF5BxamRj7ZwTG3TU5v9JpcwkUcmQNh7eCQ,P-avax1ghc0lm4a7vr588axf3qfv6444le5aya4npxvg8,delegator,11777346220,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-19T23:24:07Z
22EQ8K9D11JFB64SF5BxamRj7ZwTG3TU5v9JpcwkUcmQNh7eCQ,P-avax15ma9j6x7jg2maaz4sjcj65yrppegt0adghgwjy,delegatee,240354005,NodeID-QHEv5so6SF3J6f1scKtWz8zhG2X4KwtN1,2021-01-19T23:24:07Z
# block,279217,,,,
dZQWdj8zBPaoPA6geh9GTbD8mAcYFqxzT13L4y21127pMhYUd,P-avax14euz84r4x2xwy3ps7m5ughs6kq2nnks42uyclu,delegator,37770247246,NodeID-8vuV1UF3KHF98EdqFyuFAMDJUzwkQWEA7,2021-01-20T00:07:24Z
dZQWdj8zBPaoPA6geh9GTbD8mAcYFqxzT13L4y21127pMhYUd,P-avax1ac58vdns38mdyaxmllufzs2myfxeqatl098vkd,delegatee,770821373,NodeID-8vuV1UF3KHF98EdqFyuFAMDJUzwkQWEA7,2021-01-20T00:07:24Z
# block,279235,,,,
yM6GjfdXMyDYMztmLubFGZf1pCz7EvCU3wETFTxys3itwM15f,P-avax124jq9kvk2ydjvdk28czvjamy47v4x4xp0h2apg,delegator,358255558417,NodeID-57K8XmmzmzigmkUVjmVL76npQ4RH6oh4i,2021-01-20T00:42:37Z
yM6GjfdXMyDYMztmLubFGZf1pCz7EvCU3wETFTxys3itwM15f,P-avax15y07y6wcq47vyvmy56zf60hse0546jq42xy2dl,delegatee,7311337927,NodeID-57K8XmmzmzigmkUVjmVL76npQ4RH6oh4i,2021-01-20T00:42:37Z
# block,279265,,,,
p6u5q6QZbtAkPTJsewGEN9RGhG7wZPKnAvoD6LFCJy6BvyWsf,P-avax1g5glc27e2dhspa0tk4fgf4l8dg9fwjzhwtww7m,delegator,18559063024,NodeID-HpMSfYT2ox1vkr1hFNMwmdWuq8QWhvH2u,2021-01-20T01:16:26Z
