Top total rewards,
P-avax1yg9jrmh6h7wea5fhcln5m7sp25aw6qck05rp9q,353095.84819489176
P-avax1m7el5kqkd00y9p594gr35l659jekm6wgxgtgcw,175651.27849156607
P-avax1ztjqu66j88ccrn297nm86d44ss69qakup88pxa,133475.22421161798
P-avax1a3thm4r22kcgc0pcfp7v434r9q2lpguf9f3h70,93619.752540193
P-avax1k8zd79xlhjfecq94skwd2n8tj53kmwx80050n7,86247.89043248899
P-avax1gxu3y3h0l2406f37ptttuhy56hfk3wryat0t5d,82718.55717940298
P-avax1rxauje80m84anavxal539zmlwwf8grzlfdg0as,78061.72614181905
P-avax1eektch5dfkee7p489y6kekckj0c9pddfxv77zg,73298.69355689202
P-avax1u6qxhl5775yzslxpjvptw966vs55f2rg38x8qh,57507.906959596
P-avax1c669n9mvfrdrlp6rlrdglrdzn5u02y88lxpd9p,55682.896297693995
P-avax1y6a0czgt40td093gxcn8zh0fw6cgc0d0ywse6g,55241.798102807
P-avax1d3asgr3lkmeuzakrsflfrw0w2l9d0063nxxx4j,55202.312333438
P-avax1cnrgn3p08xzj8cnm2xclafa53x6d637tfe9ead,55010.985566883
P-avax1dkqpvgcxc66gawr09uym46299vg05zt8zwrfxk,54789.819953148995
P-avax1jfz8rd9s7cgv45l0e659pjfke6jd6sj303xav7,54611.703353541
P-avax1qvr55wtdxsa22zt7f7huex2sldclzelaqa5qjc,54598.530386685
P-avax1smn9pxpapmajnu0en25fqe5x20pjk2xu7hz64c,54534.370524905
P-avax1z07a7szd7spj9jmvtf6yg37vc009szga0rueaa,54434.736864490995
P-avax150ugp7j6464hv8juv86zcgmayhwjaarkys68f6,54391.335566784
P-avax1lh6ujdrgrywm9l5vjrgcqhd3c2w80q70ls4raw,54367.394461867
P-avax1d7duc6yhvegd4llvazz5dua7ghe99c0tfqu5tr,54316.582821740005
P-avax1wxe6fugcuatgk07cgjeea6ju2x2thkhhm94wyp,54288.283596727
P-avax196lc30ya0mmqlm6arwuhtdx6s9rwa0fnvftc9j,54273.336186706
P-avax144wptphlhsdy8yu423acq6m29mvfgnz4het0u4,54259.454226946
P-avax1jxf09g3dtx28rhyv4pzps3tlrpl466yyt0swut,54253.077302201
P-avax1a8kdxjxadcf9vwxh857w2k6rndpk36n9x2femh,54189.598593816
P-avax1zk8v3duznw376pjpjw6dmpqag7wrzjlc276haz,54189.324793567
P-avax13u2czku0xj5x0q8jm28ksupgkqrkvwze8nsvkq,54188.613949251
P-avax1lmg4yu7v7vj0wfqhwyyyt6e09kvcdyg04h8f5g,54166.572130418
P-avax1axhrvc004m3670vtfd4fzx8sfp6na69ncmljh0,54137.976413494
P-avax15zdfp5ca2d8rhxgs3whyzf4xvsymurvjmgc7hg,54114.404978648
P-avax1ys7t3wscdvktne54fve9m4hm9fqmkj25zl4azy,54050.694087538
P-avax1ueh54gz5gyrp6ucm2lcrk0ew7swe5svule4ue0,54000.496035988006
P-avax1mpxtqddk7zdceyewty93fpcg9npv6ryp5j62fl,53932.981916307
P-avax19anyn4lzpj8zpc5m2w2cgyq3fqy38462lma4e2,53875.479743048
P-avax17s3xwv48lrvvd5cdsq86jp3lta75yr4hsahfq2,53859.496046722
P-avax1gk7jltxpsq6ny2myrlpp9jr8w3rzjvnwguc855,53848.995378192
P-avax19m7pz5edmppvrtq5fdkj5h3pvk3v4q2q5urrw5,53844.740728944
P-avax1x857w0g3tzc2vqy2e79mr3u56dw7m0g63vk964,53836.469040187
P-avax1jzr49l27twces7s4uks0sxqut7jhrys4ctk309,53806.122093188
P-avax19sqkumhs3ctkemevs7f5qs4fhnf2mqtj8zvu77,53753.768232523995
P-avax1ptemw86xzltp0tnzv32sk9nqc4vjkalxnys4ml,53740.139671895
P-avax17aq4v7wtxpmvf6mykye45nhm4rsmn5vrt07sas,53713.149950694
P-avax15ucjzvev2wxt8rdnt7yzx33fpupstkzewhu89v,53698.562604453
P-avax1xjpw8u95v7a65545ryknlnjqfa9retz94s4r8t,53681.721870478
P-avax1d4nx6y2td2e9z620gs34w4wrsllspyewrv4k89,53653.679237964
P-avax1wd8lrvauu2assw8e4866ex909extrlnte407j4,53643.952093858
P-avax1revjtp5mtek9jrq5t07l6jhqzyce2yf6ajlypx,53632.321244214
P-avax17rlqm2nmvvth46kva8dnm7sezsh5yr3whc0nqz,53621.644779063
P-avax1fhcg48maaj7az3wylrucwzzp6dtw5flumddcrx,53619.156806236
P-avax10rftn84wgwvyunrjjcmp0ld2t3hzz8k2n86s0m,53572.214156096
P-avax1wzw46c75sy9crhykqhhqqu7e85hc5mshqsj505,53562.179395514
P-avax1qg0zsa08t0jce2u5jypds96pven89hywap7qk6,53547.855768456
P-avax1ck85javta3aplkj9d22ldj0d5tvnq0ddmyg0rq,53540.326552299004
P-avax18gn5xenq4a29k69wxl06hse7782t94jr9czy06,53528.777024912
P-avax1s5ual2l3grfy8c2zekgr89vy73xdu6h7qcmppc,53442.778294726
P-avax1hmpvuf4jx5u524c78azzpcc78gq6xmtkk0k2m7,53429.584217298
P-avax1asr3kcxawc3xku53fhk8cz7rlvq3jpg2ll4snw,53415.934458943
P-avax1eaa2tlrdn0umrvjnwcy550ctt0vuug9h0wx8pt,53356.345817713
P-avax1a87mj0rjw8s8cc5hyw8q7gm03we3t229n4xy97,53348.664741199995
P-avax1x0she93m550uesw0py9nff7wsyqe6mvwwfdp85,53345.248847955
P-avax1p5r80sfjg6z2r90svfxrxv9m42ysv2fr5grxaw,53292.271539869
P-avax1w47uwv5mtfm9j4vxkz9u4vjsctvxpv6lu2606z,53287.675249139
P-avax16n3us3sr4ujmtekq97k8aw76kg383v0f4876se,53266.736352863
P-avax1etnht4rzq8yn3kc9ut6hprg39zslj7a46f3xzx,53175.859899475
P-avax1phjfpes330dlw8lkm6l6xavlcpxryh48xwms2e,53164.142221344
P-avax1pfew0mazgzl4uwsmvs9sghtpeamjvt760k7l77,53153.004872599
P-avax1zt6fupzjkty0c3nktepc4g2xl4gkqw9k3glvzk,53150.21801601
P-avax1c8t92geuqdtfch94s7y00r02rs008ef2vl0yln,53142.586333177
P-avax1dks5428yz35pqxczwqa2wq2g3g0f7z0uwyhq6u,53086.746883529
P-avax1e7wtpt5we5a8zuqey3aawwfr7cl2vrq6gecp28,53085.574069097
P-avax1tzaj4waztzqjpz7fthpzvaddup26aatwnwvcu4,52975.268373756
P-avax1lgw2khw6wchmux9k6www4q9du0hyujaunjqvh4,52884.062936025
P-avax1nq59zlpl69pqvdnhmn9ux40pfxsdn84gp2lqg5,52856.956607383
P-avax1j0xl0dzrq3nnxt76ce4q632dcqhkgtnsvw8rw6,52790.35837933
P-avax1j2j0vzttatv73gr7j4tnd7rp4el3ngcyjy0pre,52790.018488055
P-avax1rfp6u7xtw3gyuqp24x4d03vvp55wvah48g3n4u,52768.153884627
P-avax1666xn08s4ytquqxtax4e3rasjhy05vtvnn6q4a,52695.521462059
P-avax1lzj8fj75aux2he0wwvtaydzgucdr44tah8rupk,52686.294839706
P-avax1nkmpdds28su8ktgu8heec7q26zjj9jq2a6skth,52603.224552814005
P-avax19kty4f97hc70j7wl3lpmt4skfehykcuahd9lm5,52539.848016901
P-avax1v75kxuqjq2qh470s6pkjhz84fnjnkz82v47rxh,52466.096415839
P-avax1amj972dqu0gud3xkxreucydukfdrlq96gxnqsl,52335.65165049
P-avax1440jsl896zt3jn3nchy98ny2w6sf2r5k4rp5xt,51721.660984461
P-avax196xukpzlvgvpuj3p8rjg2yuckc9xjkejs3k6an,49557.822228412
P-avax1mp6mfh4cztfvqf8mma8fada3ftksh39egn000l,47073.00159789799
P-avax1t3rhlzn8xprlq0udrp2zmruuvwmq0l668whevm,37963.465077737
P-avax1gn8w65lh3fj30fqw28hulqvdtptjzqxmc55exe,31148.667887867996
P-avax1ey23rrlh29pvtd4ql6r6pyjckddul3kgtdt672,28145.5738
P-avax1qmac0p5njtsaddsd0zumuv3nu7f7as0w0sjhpt,24098.709619868
P-avax1m6jwlq8k2x4g94mrynugftxtt0295mmyepx3s3,21740.775708249002
P-avax1c8wdartq8g9fxylx0twxswj3z62lsa2sw4rwm9,21400.64063667
