Top total rewards,
P-avax1aajpecrucn0z2tcggscxz99nnq560p9t6fcgm8,2359606.5313457157
P-avax1hpx0u75s006t6w65yjp3u69y3qlfcxqfmrpzrd,1928587.8115784014
P-avax1yse9umgsfs26jun5hzfl5uuc6tzlmjnura3ntf,903227.1936579726
P-avax1a3thm4r22kcgc0pcfp7v434r9q2lpguf9f3h70,819940.857923879
P-avax1vuy43nqh6fn73jwt5q2xepcnd40kx6rn5eqp3d,683444.80030719
P-avax1m7el5kqkd00y9p594gr35l659jekm6wgxgtgcw,583522.0099376359
P-avax1p9w2g4nds47d83sa7vqtm2g3yr28mp7f6pd7tt,556341.96865962
P-avax19zfygxaf59stehzedhxjesads0p5jdvfeedal0,525545.9961166526
P-avax1ef0yud6tj9xt2t7gt8gnkzf0kksw4wfgpwm78v,482033.3057053271
P-avax1vse26cxl2phqrvtvxr3y35p9c0rhjl27zkt6wx,477091.05003040005
P-avax166j9k97w2l0w6ej44ee4hz8z8vlqsh9dzc26s2,474242.91558091115
P-avax1yjy2uc5tv9pnmd5vlgm2sk5j5pvw39je90v08v,427371.574670172
P-avax17ftxqmclnkk4c6px37e7gv2y9yf03fhp650a7h,424048.40209106856
P-avax1wrjtxnqyzt2jsfdsjxclwactmgymel22fqptpy,383675.921725651
P-avax1keye34m85sar904yvyg9hr2um7znzpmgl4dwkz,355834.86859822925
P-avax1yg9jrmh6h7wea5fhcln5m7sp25aw6qck05rp9q,353095.84819489176
P-avax1y8fmzkfhdc2f68vz8lfvsmx0dfv52ckhlp7n06,351641.46878608514
P-avax1gqg99nwnulqvkhhucef9p3mcfhru4hcp7c7hap,349879.57938437397
P-avax1q03eqzkaccmvumx02dt66e47zztrm8wtv5aewz,337872.676617065
P-avax13pnjc4g7547pda3yakjm645tlk2z3xeumhkhp0,335057.778505278
P-avax1xwnwrv28j08gfuxyucgfwsjc22r3ywn9wgef7a,325189.4531647653
P-avax1jh52rduqt9ce9nz24vjhkju7v9zvqg689s79ph,321606.7620484658
P-avax1l6kewlgap03nc5fmxhfyvm97h6pu3r25uw6skf,316320.29855876
P-avax1s2rnxpmadf53xfsxfs32uc0jkwxsmfq8muu0r3,310057.000496202
P-avax1aklp8dcjd0y3w4n9rdgyzyrj8fv2gh4l8uge65,309145.903373648
P-avax1gxu3y3h0l2406f37ptttuhy56hfk3wryat0t5d,297119.469638516
P-avax13jvf9c073upyzs6q2wqrfvwd3s7eu03l20zmtp,285647.22980291
P-avax1thh9cwqn8rldhq6g6a85chunjf95mcjtt9pn0c,283504.286286246
P-avax15kcmtnda0egj99hdvreq69vyt96g7w52gw3wxe,263748.693774254
P-avax1czxh94j66aqmp8vnns8gzzcgsmaqe9a356d084,261380.88037666702
P-avax1qvr55wtdxsa22zt7f7huex2sldclzelaqa5qjc,252338.017630638
P-avax1rmq47cumhhsx3xu0zcp6w46y9ss2a0qfeamlse,252101.26554698305
P-avax1w9556ecmrjg0fym5rw3lwhsumrm6z42wh7a8m0,249812.13024753297
P-avax1y6a0czgt40td093gxcn8zh0fw6cgc0d0ywse6g,247294.57995715
P-avax1ys7t3wscdvktne54fve9m4hm9fqmkj25zl4azy,247244.824937817
P-avax1507crljye95683ec7j7ezsf9dmuqykgw3nwdnv,246976.433308924
P-avax196lc30ya0mmqlm6arwuhtdx6s9rwa0fnvftc9j,241974.29350215802
P-avax1amj972dqu0gud3xkxreucydukfdrlq96gxnqsl,239659.89133769006
P-avax16vagrjh2ulha8a3mxy6gcx2lqs2cy67j84xs7r,238351.16921236302
P-avax1z07a7szd7spj9jmvtf6yg37vc009szga0rueaa,225606.31240827596
P-avax1j3mllmr3a54pc9px37pc7fn4ekc9wuwuuf0lz3,224782.542107281
P-avax1zk8v3duznw376pjpjw6dmpqag7wrzjlc276haz,220448.693065804
P-avax1p5r80sfjg6z2r90svfxrxv9m42ysv2fr5grxaw,219123.343319462
P-avax1zt6fupzjkty0c3nktepc4g2xl4gkqw9k3glvzk,218990.82997757103
P-avax19m7pz5edmppvrtq5fdkj5h3pvk3v4q2q5urrw5,218565.715507544
P-avax17s9kmm0zrw3vgqh0wxkssw3a6tcy8mu5cgz4kd,217821.626809073
P-avax1xjagncd2zlp0255s0kjpjeg0n3k0cgc0x3m9jc,216358.201227865
P-avax18yp8c0mx7ya0chpzjfjll0lxxhykx3u46vy2a8,212822.12120896118
P-avax1qg0zsa08t0jce2u5jypds96pven89hywap7qk6,209990.70959872505
P-avax1xjpw8u95v7a65545ryknlnjqfa9retz94s4r8t,209695.96977854602
P-avax19sqkumhs3ctkemevs7f5qs4fhnf2mqtj8zvu77,209229.131682204
P-avax1zxk5d3f0n4vmdsuujlv9c2dgj59x3axgect43m,205288.616164474
P-avax1revjtp5mtek9jrq5t07l6jhqzyce2yf6ajlypx,204321.31148788898
P-avax1tgaju8hhctmywknjf3fplk8n4fl7vgh7xrkef9,204301.793035032
P-avax1x857w0g3tzc2vqy2e79mr3u56dw7m0g63vk964,201315.51824893098
P-avax144wptphlhsdy8yu423acq6m29mvfgnz4het0u4,200745.662037102
P-avax1rfp6u7xtw3gyuqp24x4d03vvp55wvah48g3n4u,198733.32105842012
P-avax19kty4f97hc70j7wl3lpmt4skfehykcuahd9lm5,198479.577337488
P-avax1jzr49l27twces7s4uks0sxqut7jhrys4ctk309,197292.43640861998
P-avax1xkmlstxrxscuqtypwr30dcy4sqr5rzg89md6jl,197291.52983350502
P-avax1mpxtqddk7zdceyewty93fpcg9npv6ryp5j62fl,195132.52929968297
P-avax15zdfp5ca2d8rhxgs3whyzf4xvsymurvjmgc7hg,194632.953024943
P-avax1pfew0mazgzl4uwsmvs9sghtpeamjvt760k7l77,193903.4563939181
P-avax1gk7jltxpsq6ny2myrlpp9jr8w3rzjvnwguc855,193467.635929793
P-avax1vfntc68svd346pvj82hx5r5r7vsqpvqednvhd7,193401.43170000197
